MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,source_zip
10/21/2022,MEC.PPWIND,Gennode,LMP,-21.3,-27.4,-27.63,-27.73,-25.98,-27.58,-21.43,-11.05,19.7,38.08,39.79,44.14,44.41,45.28,43.2,49.7,53.64,60.84,73.16,52.17,47.15,34.44,25.66,20.32,2022_Oct-Dec_DA_LMPs.zip
10/22/2022,MEC.PPWIND,Gennode,LMP,9.67,5.05,5.66,2.14,2.76,5.78,10.29,1.49,2.0,18.07,17.62,2.68,9.26,-0.32,-4.61,-8.2,-7.44,-1.14,-0.37,-6.49,-13.19,-16.52,-17.65,-19.43,2022_Oct-Dec_DA_LMPs.zip
10/23/2022,MEC.PPWIND,Gennode,LMP,-23.34,-20.79,-22.85,-25.84,-27.56,-27.74,-27.88,-27.71,-27.8,-27.54,-27.75,-27.67,-27.68,-27.8,-27.79,-27.81,-27.64,-27.36,-24.36,-26.74,-27.54,-27.7,-27.74,-27.77,2022_Oct-Dec_DA_LMPs.zip
10/24/2022,MEC.PPWIND,Gennode,LMP,-25.38,-27.59,-24.77,-27.58,-26.03,-25.48,-13.52,-11.81,-7.35,-1.87,1.06,4.67,4.33,3.37,3.98,4.77,17.52,50.0,57.27,44.67,34.71,26.92,23.18,22.48,2022_Oct-Dec_DA_LMPs.zip
10/25/2022,MEC.PPWIND,Gennode,LMP,17.13,17.41,17.36,17.17,22.63,35.08,49.62,46.43,45.66,56.34,52.76,49.06,42.16,35.01,27.6,29.27,27.23,45.33,56.7,43.85,37.08,31.59,22.6,19.43,2022_Oct-Dec_DA_LMPs.zip
10/26/2022,MEC.PPWIND,Gennode,LMP,14.39,11.68,0.17,8.87,19.44,32.68,45.23,51.47,55.47,62.08,65.48,64.48,57.82,59.92,52.56,55.39,60.68,82.75,90.54,66.44,56.39,47.77,38.96,31.36,2022_Oct-Dec_DA_LMPs.zip
10/27/2022,MEC.PPWIND,Gennode,LMP,8.19,15.6,17.36,2.55,2.08,-9.47,1.25,-4.92,4.89,4.86,1.14,15.98,19.55,18.61,33.1,33.11,38.29,54.29,53.42,23.06,10.77,12.26,5.0,15.0,2022_Oct-Dec_DA_LMPs.zip
10/28/2022,MEC.PPWIND,Gennode,LMP,16.9,18.85,20.41,25.47,35.07,37.43,100.94,88.0,87.06,88.89,76.95,72.43,69.89,71.0,71.83,72.4,65.42,79.05,79.06,64.62,57.69,26.02,21.8,18.73,2022_Oct-Dec_DA_LMPs.zip
10/29/2022,MEC.PPWIND,Gennode,LMP,5.06,3.1,9.34,6.53,9.76,18.17,26.6,33.38,38.22,55.16,52.74,50.62,47.76,34.97,32.33,30.82,38.22,57.56,60.46,47.3,32.73,27.12,22.9,22.72,2022_Oct-Dec_DA_LMPs.zip
10/30/2022,MEC.PPWIND,Gennode,LMP,21.61,24.12,28.97,31.37,32.99,35.8,40.72,40.76,44.13,46.54,45.86,45.54,42.86,41.35,41.72,43.77,48.42,61.89,74.15,51.94,48.83,42.73,46.03,40.74,2022_Oct-Dec_DA_LMPs.zip
10/31/2022,MEC.PPWIND,Gennode,LMP,34.29,35.21,35.43,36.05,41.38,51.62,67.07,72.41,64.85,69.43,56.0,54.63,52.6,52.86,51.6,54.59,53.21,59.75,66.49,53.94,48.4,39.48,24.52,16.54,2022_Oct-Dec_DA_LMPs.zip
11/1/2022,MEC.PPWIND,Gennode,LMP,9.25,9.0,11.02,12.42,15.52,25.55,34.99,39.76,39.21,48.52,53.1,53.58,52.74,49.74,40.92,35.69,31.43,29.12,18.7,-1.4,-11.66,-15.75,-22.85,-27.52,2022_Oct-Dec_DA_LMPs.zip
11/2/2022,MEC.PPWIND,Gennode,LMP,-26.0,-26.31,-26.09,-26.18,-25.14,-23.34,-16.26,-11.56,-14.74,-8.71,-12.29,-15.41,-17.62,-17.38,-18.39,-16.53,-15.99,-10.46,-3.82,-11.53,-13.39,-17.96,-21.31,-22.8,2022_Oct-Dec_DA_LMPs.zip
